round,time_start,time_end,lightweight_accuracy,heavyweight_accuracy,global_lightweight_accuracy,global_heavyweight_accuracy,lightweight_precision,heavyweight_precision,lightweight_recall,heavyweight_recall,lightweight_f1,heavyweight_f1,transfer_accuracy_light_to_heavy,transfer_accuracy_heavy_to_light,num_lightweight_samples,num_heavyweight_samples
11,50,55,0.6211111111111111,0.7775,0.5741666666666667,0.5783333333333334,0.6165038462567884,0.7793822801382326,0.8967205090553109,0.8482623592755751,0.729938414113264,0.8121735267756426,0.9558333333333333,0.9558333333333333,30,30
12,55,60,0.6466666666666666,0.775,0.58,0.585,0.6302344713678317,0.7841771587310716,0.9255996084189917,0.8330885952031326,0.7491899886374211,0.8076145855468114,0.9516666666666667,0.9516666666666667,30,30
13,60,65,0.6461111111111112,0.7769444444444445,0.5791666666666667,0.59,0.6345645017239269,0.7824552927719307,0.9021047479197258,0.8414096916299559,0.7440301473475118,0.8105848142130058,0.9475,0.9475,30,30
14,65,70,0.6227777777777778,0.7808333333333333,0.595,0.5891666666666666,0.6266522071674222,0.7828140508202307,0.8458149779735683,0.8502202643171807,0.7190152103473517,0.8148838364815019,0.9258333333333333,0.9258333333333333,30,30
15,70,75,0.6533333333333333,0.7822222222222223,0.6,0.5975,0.6403874855472006,0.7997478524041742,0.9016152716593245,0.8228095937347039,0.7476269791397968,0.8108187814637641,0.9308333333333333,0.9308333333333333,30,30
16,75,80,0.6469444444444444,0.785,0.6066666666666667,0.6,0.6407731503277786,0.8094144486534406,0.8761625061184533,0.8139990210474792,0.7390747319014123,0.81140960369047,0.9366666666666666,0.9366666666666666,30,30
17,80,85,0.6316666666666667,0.7891666666666666,0.5825,0.615,0.6394598327237345,0.8182858772734184,0.8242780225159079,0.8105726872246697,0.7188547481935195,0.8139229308513073,0.8691666666666666,0.8691666666666666,30,30
18,85,90,0.6272222222222222,0.7827777777777777,0.5908333333333333,0.6075,0.6442087247460889,0.8054705424900317,0.788546255506608,0.8159569260890848,0.7079218457530777,0.8104460357585945,0.8233333333333334,0.8233333333333334,30,30
19,90,95,0.6705555555555556,0.7622222222222222,0.5733333333333334,0.565,0.6537315579551016,0.8373337472204163,0.9123837493881547,0.723935389133627,0.7596722194258345,0.7759957874102854,0.7016666666666667,0.7016666666666667,30,30
20,95,100,0.6355555555555555,0.7858333333333333,0.5716666666666667,0.5833333333333334,0.6535780860608053,0.8020976244365193,0.7870778267254037,0.8286833088595204,0.7122885339268947,0.8149925904653729,0.7233333333333334,0.7233333333333334,30,30
21,100,105,0.6536111111111111,0.7797222222222221,0.5825,0.5883333333333334,0.6576396094361158,0.8170843328924063,0.8350465002447381,0.7919725893294175,0.7342544819494469,0.8038440618307635,0.8175,0.8175,30,30
